Especie	Individuo	Populacao	ALTURA	AF	DAP	DENMAD	Conteudo_agua_solo
A	36	MataAtlantica	8.48	7.195	26.0	0.321	0.2794
A	37	MataAtlantica	9.72	0.943	22.4	0.440	0.3036
A	38	MataAtlantica	8.60	5.396	27.0	0.340	0.3076
A	39	MataAtlantica	11.20	5.212	23.6	0.278	0.2534
A	40	MataAtlantica	11.94	5.014	21.5	0.390	0.3229
A	41	MataAtlantica	13.93	4.012	25.6	0.219	0.2578
A	42	MataAtlantica	12.04	9.216	24.2	0.384	0.3058
A	43	MataAtlantica	12.22	6.162	20.3	0.262	0.3062
A	44	MataAtlantica	10.45	4.625	24.2	0.256	0.3157
A	45	MataAtlantica	8.05	6.860	23.2	0.274	0.2467
A	46	MataAtlantica	11.55	4.936	20.9	0.309	0.2672
A	47	MataAtlantica	12.20	4.102	24.4	0.294	0.2692
A	48	MataAtlantica	10.54	2.399	24.8	0.082	0.3120
A	49	MataAtlantica	7.82	5.589	23.0	0.359	0.2993
A	50	MataAtlantica	10.19	1.768	23.8	0.392	0.2733
B	1	Restinga	6.51	6.495	8.8	0.259	0.1635
B	2	Restinga	7.24	6.468	9.1	0.276	0.1534
B	3	Restinga	5.53	6.502	8.7	0.337	0.1635
B	4	Restinga	9.88	6.538	9.0	0.279	0.1475
B	5	Restinga	6.91	6.439	9.2	0.318	0.1217
B	6	Restinga	6.09	6.535	8.8	0.243	0.0880
B	7	Restinga	5.25	6.546	9.3	0.233	0.1256
B	8	Restinga	6.11	6.505	8.8	0.422	0.1552
B	9	Restinga	7.69	6.490	8.7	0.278	0.1309
B	10	Restinga	6.92	6.474	9.5	0.242	0.1172
B	11	Restinga	4.27	6.460	9.3	0.370	0.1652
B	12	Restinga	2.61	6.481	9.0	0.320	0.1444
B	13	Restinga	6.26	6.492	9.6	0.329	0.1483
B	14	Restinga	5.53	6.493	8.8	0.215	0.0743
B	15	Restinga	8.39	6.518	9.2	0.384	0.1057
B	16	Restinga	10.29	6.510	8.4	0.279	0.1081
B	17	Restinga	7.07	6.491	8.8	0.330	0.1770
B	18	Restinga	6.86	6.486	9.3	0.258	0.1336
B	19	Restinga	3.55	6.472	8.9	0.232	0.1774
B	20	Restinga	2.66	6.452	8.6	0.309	0.1780
B	21	Restinga	3.11	6.483	8.9	0.366	0.1671
B	22	Restinga	4.94	6.514	8.6	0.357	0.1415
B	23	Restinga	9.34	6.576	8.4	0.330	0.0953
B	24	Restinga	7.20	6.463	9.1	0.316	0.1168
B	25	Restinga	9.91	6.487	8.7	0.304	0.1163
B	26	MataAtlantica	10.34	6.504	12.4	0.413	0.2905
B	27	MataAtlantica	10.68	6.516	11.9	0.297	0.2838
B	28	MataAtlantica	9.24	6.514	11.7	0.307	0.2943
B	29	MataAtlantica	9.93	6.495	12.0	0.330	0.2503
B	30	MataAtlantica	9.79	6.459	12.3	0.341	0.3065
B	31	MataAtlantica	9.73	6.542	11.6	0.267	0.2623
B	32	MataAtlantica	7.42	6.477	12.1	0.290	0.2349
B	33	MataAtlantica	12.76	6.536	11.7	0.309	0.3020
B	34	MataAtlantica	8.13	6.460	12.0	0.350	0.2512
B	35	MataAtlantica	7.51	6.495	11.3	0.306	0.2893
B	36	MataAtlantica	8.15	6.503	12.4	0.318	0.2794
B	37	MataAtlantica	11.47	6.480	12.0	0.344	0.3036
B	38	MataAtlantica	8.91	6.554	11.4	0.283	0.3076
B	39	MataAtlantica	8.27	6.530	11.8	0.356	0.2534
B	40	MataAtlantica	5.39	6.522	11.7	0.265	0.3229
B	41	MataAtlantica	9.72	6.518	11.6	0.353	0.2578
B	42	MataAtlantica	15.29	6.495	11.9	0.317	0.3058
B	43	MataAtlantica	8.56	6.514	12.6	0.322	0.3062
B	44	MataAtlantica	8.49	6.507	12.1	0.335	0.3157
B	45	MataAtlantica	6.10	6.476	12.1	0.356	0.2467
B	46	MataAtlantica	7.07	6.508	12.0	0.308	0.2672
B	47	MataAtlantica	11.66	6.544	12.3	0.266	0.2692
B	48	MataAtlantica	8.97	6.489	11.7	0.245	0.3120
B	49	MataAtlantica	9.68	6.449	11.8	0.305	0.2993
B	50	MataAtlantica	8.33	6.546	12.1	0.323	0.2733
C	1	Restinga	9.70	2.295	15.1	0.272	0.1635
C	2	Restinga	10.30	2.225	16.3	0.323	0.1534
C	3	Restinga	9.93	1.082	14.0	0.341	0.1635
C	4	Restinga	8.52	2.449	14.9	0.280	0.1475
C	5	Restinga	9.66	2.018	15.2	0.302	0.1217
C	6	Restinga	9.27	1.096	12.1	0.307	0.0880
C	7	Restinga	9.74	2.490	14.6	0.322	0.1256
C	8	Restinga	11.10	2.762	13.8	0.334	0.1552
C	9	Restinga	10.22	1.635	13.7	0.278	0.1309
C	10	Restinga	10.09	1.905	13.8	0.384	0.1172
C	11	Restinga	10.09	1.838	16.1	0.330	0.1652
C	12	Restinga	9.83	2.195	15.2	0.293	0.1444
C	13	Restinga	9.20	1.498	13.6	0.357	0.1483
C	14	Restinga	10.50	2.107	13.3	0.388	0.0743
C	15	Restinga	9.99	0.756	14.7	0.283	0.1057
C	16	Restinga	10.90	1.617	15.7	0.332	0.1081
C	17	Restinga	10.24	2.405	15.4	0.289	0.1770
C	18	Restinga	9.84	1.249	15.2	0.316	0.1336
C	19	Restinga	10.95	1.405	14.7	0.376	0.1774
C	20	Restinga	9.24	1.514	15.1	0.381	0.1780
C	21	Restinga	10.21	1.578	13.4	0.389	0.1671
C	22	Restinga	9.95	1.931	14.0	0.372	0.1415
C	23	Restinga	10.24	2.663	14.0	0.307	0.0953
C	24	Restinga	8.83	2.456	14.2	0.330	0.1168
C	25	Restinga	9.41	1.726	14.6	0.362	0.1163
C	26	MataAtlantica	9.89	1.966	14.6	0.298	0.2905
C	27	MataAtlantica	9.88	1.781	15.2	0.246	0.2838
C	28	MataAtlantica	9.67	1.665	13.2	0.259	0.2943
C	29	MataAtlantica	8.74	1.419	14.7	0.360	0.2503
C	30	MataAtlantica	10.50	2.026	17.7	0.355	0.3065
C	31	MataAtlantica	9.20	1.506	14.2	0.280	0.2623
C	32	MataAtlantica	9.87	2.935	14.8	0.227	0.2349
C	33	MataAtlantica	10.35	1.749	14.9	0.243	0.3020
C	34	MataAtlantica	10.31	1.732	13.9	0.271	0.2512
C	35	MataAtlantica	9.38	1.982	14.4	0.362	0.2893
C	36	MataAtlantica	10.35	1.776	14.1	0.359	0.2794
C	37	MataAtlantica	9.92	1.278	16.4	0.329	0.3036
C	38	MataAtlantica	8.96	1.609	15.1	0.384	0.3076
C	39	MataAtlantica	10.01	2.119	14.0	0.338	0.2534
C	40	MataAtlantica	10.07	2.766	16.1	0.284	0.3229
C	41	MataAtlantica	10.27	1.835	14.3	0.392	0.2578
C	42	MataAtlantica	10.61	2.182	13.6	0.313	0.3058
C	43	MataAtlantica	9.19	1.893	14.6	0.388	0.3062
C	44	MataAtlantica	10.36	1.659	14.5	0.281	0.3157
C	45	MataAtlantica	9.77	2.144	14.9	0.302	0.2467
C	46	MataAtlantica	10.28	1.832	14.7	0.305	0.2672
C	47	MataAtlantica	10.47	3.140	13.9	0.215	0.2692
C	48	MataAtlantica	9.91	2.644	15.9	0.369	0.3120
C	49	MataAtlantica	10.58	2.248	14.5	0.363	0.2993
C	50	MataAtlantica	9.58	2.496	15.3	0.252	0.2733
